
   # PLAYER                 :  RATING  ERROR  CFS(%)  PLAYED     W     D     L   (%)  OppAvg
   1 Stockfish 9            :  3480.0   ----     100    1100   891   204     5    90  3071.3
   2 Komodo 9.02            :  3331.3   24.7     100    1100   680   334    86    77  3084.8
   3 Shredder 13            :  3278.0   24.9     100    1100   584   407   109    72  3089.7
   4 Rybka 4.1              :  3132.9   22.4      96    1100   370   458   272    54  3102.9
   5 Texel 1.07             :  3112.3   20.8      98    1100   351   438   311    52  3104.7
   6 Senpai 2.0             :  3085.7   23.4      68    1100   306   453   341    48  3107.1
   7 iCE 3.0                :  3080.0   ----      80    1100   294   454   352    47  3107.7
   8 Arasan 20.4.1          :  3070.2   23.0      96    1100   283   455   362    46  3108.6
   9 Ethereal 9.04          :  3043.4   22.3     100    1350   749   460   141    73  2856.7
  10 Hakkapeliitta 3.0      :  2995.6   19.5      65    1350   669   456   225    66  2862.0
  11 Crafty 25.2            :  2991.1   21.3      86    1350   664   450   236    66  2862.5
  12 Hiarcs 14              :  2973.2   24.4      88    1100   183   385   532    34  3117.4
  13 DiscoCheck 5.2.1       :  2952.9   24.5      79    1100   512   369   219    63  2845.7
  14 Spike 1.4              :  2941.1   20.7      82    1350   218   466   666    33  3091.0
  15 Rodent III             :  2927.6   24.1      97    1100   465   389   246    60  2848.0
  16 Zappa Mexico II        :  2900.1   22.1      95    1350   154   458   738    28  3095.5
  17 Junior 12.5.0.3        :  2879.6   23.1      98    1350   148   405   797    26  3097.8
  18 Gaviota 1.0            :  2849.6   20.0      74    1100   369   345   386    49  2855.1
  19 Sjeng 3.0              :  2842.9   20.6     100    1300   440   439   421    51  2838.1
  20 Pawny 1.2              :  2800.3   22.5      77    1300   348   471   481    45  2841.4
  21 Fruit 2.3              :  2792.1   21.5     100    1300   350   438   512    44  2842.0
  22 MadChess 3.1           :  2741.7   18.0      99    2000   754   712   534    56  2701.3
  23 Marvin 3.0             :  2718.1   22.0     100    1550   353   472   725    38  2816.5
  24 Djinn 1.021            :  2678.0   ----      95    1950   394   614   942    36  2784.3
  25 Rodin 8.0              :  2663.7   17.1      84    1950   389   604   957    35  2785.4
  26 Floyd 0.9              :  2652.9   19.9      88    1950   860   545   545    58  2590.9
  27 MadChess 3.0           :  2644.6   15.7      70    4000  1671  1193  1136    57  2594.9
  28 Rotor 0.8              :  2640.8   19.2      76    1950   817   565   568    56  2591.8
  29 Glass 2.0              :  2635.2   18.1     100    1950   809   549   592    56  2592.4
  30 Maverick 1.5           :  2588.7   20.5      98    1700   631   459   610    51  2583.6
  31 Ghost 3.1              :  2567.1   20.7      97    1500   576   357   567    50  2564.1
  32 Schooner 1.8           :  2547.4   20.3     100    1500   457   510   533    47  2565.4
  33 MadChess 2.2           :  2503.1   21.5      67    1100   344   299   457    45  2540.7
  34 LittleThought 1.052    :  2498.0   22.0      84    1500   405   403   692    40  2568.8
  35 Bumblebee 1.0          :  2487.1   22.0      79    1100   332   271   497    43  2542.4
  36 Winter 0.1.1           :  2477.6   19.1      75    1750   990   372   388    67  2289.8
  37 Orion 0.4              :  2470.1   19.8      55    1350   380   406   564    43  2520.9
  38 Gaia 3.5               :  2468.8   20.4     100    1350   414   334   602    43  2520.7
  39 GreKo 6.5              :  2391.2   21.7      59    1350   268   330   752    32  2528.9
  40 Myrddin 0.87           :  2387.9   24.8      99    1350   804   262   284    69  2194.8
  41 Waxman 2017            :  2359.3   21.7     100    1350   762   257   331    66  2197.9
  42 Sungorus 1.4           :  2310.0   ----     100    1100   651   219   230    69  2147.6
  43 Zevra 1.8.4            :  2231.7   21.1      88    1100   511   242   347    57  2154.7
  44 Napoleon 1.8           :  2216.7   25.2     100    1100   483   258   359    56  2156.1
  45 Galjoen 0.37.2         :  2167.8   25.3     100    1100   437   220   443    50  2160.5
  46 BikJump 2.01           :  2091.8   24.1     100    1100   330   235   535    41  2167.4
  47 Monarch 1.7            :  2055.2   25.3     100    1100   303   197   600    37  2170.8
  48 Faile 1.4              :  1973.6   27.4      51    1100   201   210   689    28  2178.2
  49 Gerbil 02              :  1973.1   25.2     100    1100   228   155   717    28  2178.2
  50 TSCP 1.81              :  1688.9   33.9     ---    1100    37    78   985     7  2204.1

White advantage = 12.28 +/- 1.73
Draw rate (equal opponents) = 34.62 % +/- 0.29

