
   # PLAYER                 :  RATING  ERROR  CFS(%)  PLAYED     W     D     L   (%)  OppAvg
   1 Stockfish 13           :  3697.0   32.4     100    1200   882   314     4    87  3255.9
   2 Komodo Dragon 2        :  3640.0   30.8     100    1200   806   355    39    82  3265.4
   3 Ethereal 13.00         :  3496.1   24.6      89    1200   652   349   199    69  3289.3
   4 Stockfish 9            :  3481.0   ----     100    1100   908   181    11    91  3070.2
   5 Komodo 9.02            :  3327.8   23.5     100    1100   687   306   107    76  3084.1
   6 Shredder 13            :  3287.7   18.5     100    1400   627   425   348    60  3199.9
   7 Rybka 4.1              :  3147.9   22.8     100    1400   419   441   540    46  3209.9
   8 Senpai 2.0             :  3112.3   16.9      57    1650   466   548   636    45  3184.8
   9 Texel 1.07             :  3110.4   20.2      99    1400   367   434   599    42  3212.5
  10 Arasan 20.4.1          :  3081.3   18.2      51    1650   425   513   712    41  3187.6
  11 iCE 3.0                :  3081.0   ----     100    1650   412   523   715    41  3187.7
  12 Ethereal 9.04          :  3025.2   20.5     100    1350   716   417   217    68  2871.2
  13 Hiarcs 14              :  2989.8   20.7      57    1400   222   375   803    29  3221.2
  14 Hakkapeliitta 3.0      :  2987.5   18.3      84    1650   652   432   566    53  3009.1
  15 Crafty 25.2            :  2976.0   18.6     100    1350   624   428   298    62  2876.6
  16 DiscoCheck 5.2.1       :  2940.3   20.0      91    1100   514   352   234    63  2838.8
  17 Spike 1.4              :  2917.1   26.2      62    1100   158   298   644    28  3121.4
  18 Rodent III             :  2912.0   21.1     100    1100   469   358   273    59  2841.3
  19 Junior 12.5.0.3        :  2867.7   25.2      67    1100   128   243   729    23  3125.9
  20 Gaviota 1.0            :  2861.5   19.2      80    1100   405   332   363    52  2845.9
  21 Zappa Mexico II        :  2848.8   20.8      81    1100    99   260   741    21  3127.6
  22 Sjeng 3.0              :  2834.5   22.2     100    1100   346   367   387    48  2848.4
  23 Pawny 1.2              :  2791.8   21.5      68    1100   294   341   465    42  2852.3
  24 Fruit 2.3              :  2785.9   20.2     100    1500   478   496   526    48  2800.5
  25 Marvin 3.0             :  2706.5   16.8     100    1800   485   533   782    42  2776.3
  26 Djinn 1.021            :  2674.0   ----      61    2200   570   645   985    41  2748.5
  27 Rodin 8.0              :  2671.4   18.9      96    2200   568   668   964    41  2748.7
  28 MadChess 3.1           :  2656.7   14.3      96    4000  1551  1192  1257    54  2629.3
  29 Glass 2.0              :  2642.3   18.4     100    2400  1136   617   647    60  2564.4
  30 MadChess 3.0           :  2611.2   14.9      63    4800  2004  1312  1484    55  2571.1
  31 Rotor 0.8              :  2609.0   15.5      82    2400   988   689   723    56  2566.5
  32 Floyd 0.9              :  2601.2   18.5      92    2100   896   558   646    56  2555.6
  33 Maverick 1.5           :  2588.9   17.2     100    3100  1140   831  1129    50  2585.9
  34 Schooner 1.8           :  2530.7   14.7     100    2600   771   745  1084    44  2573.7
  35 LittleThought 1.052    :  2483.1   16.2      83    1900   530   441   929    40  2561.4
  36 Ghost 3.1              :  2474.2   21.8      89    1500   459   329   712    42  2536.6
  37 Winter 0.1.1           :  2459.1   19.2      55    1750  1013   338   399    68  2277.4
  38 MadChess 2.2           :  2457.5   21.6      75    1100   336   270   494    43  2511.0
  39 Bumblebee 1.0          :  2449.6   22.5      87    1100   321   275   504    42  2511.7
  40 Orion 0.4              :  2435.3   20.6      59    1350   394   363   593    43  2490.7
  41 Gaia 3.5               :  2433.0   18.4     100    1350   423   296   631    42  2491.0
  42 Myrddin 0.87           :  2388.5   23.0      85    1350   853   217   280    71  2186.4
  43 GreKo 6.5              :  2373.6   23.0     100    1350   296   321   733    34  2497.6
  44 Sungorus 1.4           :  2310.0   ----     100    1350   722   260   368    63  2195.1
  45 Waxman 2017            :  2253.5   20.9      98    1100   570   207   323    61  2149.6
  46 Zevra 1.8.4            :  2228.8   23.7      92    1100   519   242   339    58  2151.8
  47 Napoleon 1.8           :  2209.8   25.2     100    1100   488   252   360    56  2153.5
  48 Galjoen 0.37.2         :  2170.7   23.3     100    1100   433   254   413    51  2157.1
  49 BikJump 2.01           :  2109.4   23.7     100    1100   362   228   510    43  2162.7
  50 Monarch 1.7            :  2048.5   25.3     100    1100   303   185   612    36  2168.2
  51 Gerbil 02              :  1983.8   27.5      58    1100   235   162   703    29  2174.1
  52 Faile 1.4              :  1980.8   24.8     100    1100   200   225   675    28  2174.4
  53 TSCP 1.81              :  1756.0   31.1     ---    1100    65    83   952    10  2194.8

White advantage = 11.22 +/- 1.73
Draw rate (equal opponents) = 32.08 % +/- 0.27

