Head to head statistics:

 1) Stockfish 13        3696.3 :   1200 (+882,=314,-4),  86.6 %

    vs.                        :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Komodo Dragon 2            :    200 (  35, 161, 4),  57.8 :   +56.9,  14.3,  100.0
    Ethereal 13.00             :    200 ( 109,  91, 0),  77.3 :  +200.8,  15.7,  100.0
    Shredder 13                :    100 (  84,  16, 0),  92.0 :  +409.0,  17.6,  100.0
    Rybka 4.1                  :    100 (  91,   9, 0),  95.5 :  +548.8,  18.6,  100.0
    Senpai 2.0                 :    100 (  96,   4, 0),  98.0 :  +584.7,  17.6,  100.0
    Texel 1.07                 :    100 (  96,   4, 0),  98.0 :  +586.3,  17.5,  100.0
    iCE 3.0                    :    100 (  87,  13, 0),  93.5 :  +615.3,  17.3,  100.0
    Arasan 20.4.1              :    100 (  92,   8, 0),  96.0 :  +615.7,  19.0,  100.0
    Hiarcs 14                  :    100 (  95,   5, 0),  97.5 :  +707.0,  19.5,  100.0
    Hakkapeliitta 3.0          :    100 (  97,   3, 0),  98.5 :  +711.3,  18.7,  100.0

 2) Komodo Dragon 2     3639.4 :   1200 (+806,=355,-39),  82.0 %

    vs.                        :  games (   +,   =,  -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 13               :    200 (   4, 161, 35),  42.3 :   -56.9,  14.3,    0.0
    Ethereal 13.00             :    200 (  82, 116,  2),  70.0 :  +143.9,  14.2,  100.0
    Shredder 13                :    100 (  81,  18,  1),  90.0 :  +352.1,  15.8,  100.0
    Rybka 4.1                  :    100 (  87,  13,  0),  93.5 :  +491.9,  17.6,  100.0
    Senpai 2.0                 :    100 (  92,   7,  1),  95.5 :  +527.7,  16.4,  100.0
    Texel 1.07                 :    100 (  87,  13,  0),  93.5 :  +529.4,  16.0,  100.0
    iCE 3.0                    :    100 (  89,  11,  0),  94.5 :  +558.4,  16.2,  100.0
    Arasan 20.4.1              :    100 (  93,   7,  0),  96.5 :  +558.8,  16.6,  100.0
    Hiarcs 14                  :    100 (  96,   4,  0),  98.0 :  +650.0,  18.2,  100.0
    Hakkapeliitta 3.0          :    100 (  95,   5,  0),  97.5 :  +654.3,  18.4,  100.0

 3) Ethereal 13.00      3495.5 :   1200 (+652,=349,-199),  68.9 %

    vs.                        :  games (   +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 13               :    200 (   0,  91, 109),  22.8 :  -200.8,  15.7,    0.0
    Komodo Dragon 2            :    200 (   2, 116,  82),  30.0 :  -143.9,  14.2,    0.0
    Shredder 13                :    100 (  64,  35,   1),  81.5 :  +208.2,  14.8,  100.0
    Rybka 4.1                  :    100 (  76,  22,   2),  87.0 :  +348.0,  15.8,  100.0
    Senpai 2.0                 :    100 (  81,  19,   0),  90.5 :  +383.8,  15.4,  100.0
    Texel 1.07                 :    100 (  75,  22,   3),  86.0 :  +385.5,  13.9,  100.0
    iCE 3.0                    :    100 (  80,  19,   1),  89.5 :  +414.5,  14.5,  100.0
    Arasan 20.4.1              :    100 (  89,  11,   0),  94.5 :  +414.8,  16.0,  100.0
    Hiarcs 14                  :    100 (  93,   7,   0),  96.5 :  +506.1,  15.6,  100.0
    Hakkapeliitta 3.0          :    100 (  92,   7,   1),  95.5 :  +510.4,  17.1,  100.0

 4) Stockfish 9         3481.0 :   1100 (+908,=181,-11),  90.8 %

    vs.                        :  games (   +,   =,  -),   (%) :    Diff,    SD, CFS (%)
    Komodo 9.02                :    100 (  61,  36,  3),  79.0 :  +153.6,  12.3,  100.0
    Shredder 13                :    100 (  60,  36,  4),  78.0 :  +193.7,  10.7,  100.0
    Rybka 4.1                  :    100 (  80,  20,  0),  90.0 :  +333.5,  12.0,  100.0
