
   # PLAYER                :  RATING  ERROR  CFS(%)  PLAYED     W     D     L   (%)  OppAvg
   1 Stockfish 16.1        :  3724.2   13.9      93    2200   601  1596     3    64  3623.4
   2 Komodo Dragon 3.3     :  3713.4   13.4      99    2200   553  1624    23    62  3624.4
   3 Berserk 13            :  3697.7   13.5     100    2200   451  1728    21    60  3625.8
   4 RubiChess 20240817    :  3668.2   13.4      74    2200   310  1819    71    55  3628.5
   5 Ethereal 14.25        :  3663.7   13.0      98    2200   311  1787   102    55  3628.9
   6 Rebel 16.3            :  3650.0   ----     100    2200   207  1821   172    51  3630.1
   7 rofChade 3.1          :  3626.4   13.3      82    2200   181  1801   218    49  3632.3
   8 Koivisto 9.0          :  3619.8   13.2     100    2200   172  1775   253    48  3632.9
   9 Arasan 24.2.2         :  3580.7   11.9      54    3200   478  2295   427    51  3569.5
  10 SlowChess 2.9         :  3580.1   13.1     100    2200    93  1673   434    42  3636.5
  11 Minic 3.41            :  3539.4   11.9     100    3200   362  2144   694    45  3574.7
  12 Wasp 7.00             :  3518.1   12.0     100    3200   354  1966   880    42  3577.4
  13 Texel 1.11            :  3470.8   12.9     100    3200  1840  1212   148    76  3212.2
  14 Hiarcs 15.3.1         :  3334.1   12.8     100    3200  1278  1387   535    62  3229.3
  15 Shredder 13           :  3249.3   12.1     100    3200   982  1331   887    51  3239.9
  16 Demolito 20211004     :  3183.4   13.5     100    2200   746  1006   448    57  3132.8
  17 Weiss 1.3             :  3143.1   12.9      98    2200   662   939   599    51  3136.5
  18 iCE 4.0               :  3130.0   ----      99    2200   599   997   604    50  3137.6
  19 Orion 1.0             :  3112.6   13.3      54    2200   561   962   677    47  3139.2
  20 Senpai 2.0            :  3112.0   13.2     100    2200   552   976   672    47  3139.3
  21 Rodent 4              :  3042.7   13.2     100    2200   366   945   889    38  3145.6
  22 Crafty 25.3           :  2975.2   11.5      84    3200   699  1149  1352    40  3069.0
  23 Spike 1.4             :  2968.9   11.3     100    3200   634  1226  1340    39  3069.8
  24 Gaviota 1.0           :  2922.0   11.6     100    3200   530  1048  1622    33  3075.6
  25 Dumb 2.1              :  2869.7   11.2      90    3200  1419  1026   755    60  2788.6
  26 Sjeng 3.0             :  2861.9   11.2      99    3200  1355  1083   762    59  2789.6
  27 MadChess 3.4          :  2846.3   12.9     100    2200  1057   718   425    64  2736.5
  28 Pawny 1.2             :  2812.3   10.8      66    3200  1106  1120   974    52  2795.8
  29 Fruit 2.3             :  2810.0   ----     100    2200   962   766   472    61  2739.8
  30 Marvin 3.0            :  2750.2   12.5     100    2200   697   835   668    51  2745.2
  31 Leorik 2.3            :  2731.2   12.3      99    2200   665   777   758    48  2746.9
  32 Blunder 8.5.5         :  2713.3   12.4     100    2200   599   795   806    45  2748.6
  33 Floyd 0.9             :  2653.9   12.4      54    3200  2048   617   535    74  2366.7
  34 Djinn 1.021           :  2653.2   10.9     100    3200   781  1125  1294    42  2714.9
  35 Glass 2.0             :  2635.0   11.1      60    3200   765   986  1449    39  2717.1
  36 Myrddin 0.90          :  2633.5   11.2      66    3200   732  1038  1430    39  2717.3
  37 Rotor 0.8             :  2630.9   10.6     100    3200   724  1030  1446    39  2717.6
  38 Maverick 1.5          :  2590.0   ----      88    3200  1808   636   756    66  2374.7
  39 Hermann 2.8           :  2580.0   16.9     100    2200  1506   344   350    76  2254.4
  40 Cosette 5.1           :  2495.1   17.0     100    2200  1313   368   519    68  2262.1
  41 Gaia 3.5              :  2463.3   16.1      71    2200  1269   316   615    65  2265.0
  42 BikJump 3.1           :  2458.6   16.7     100    2200  1235   363   602    64  2265.4
  43 Sungorus 1.4          :  2335.6   16.6     100    2200   958   380   862    52  2276.6
  44 Napoleon 1.8          :  2283.1   17.7     100    2200   842   395   963    47  2281.4
  45 Faile 1.4             :  1994.8   22.0     100    2200   388   286  1526    24  2307.6
  46 Rustic Alpha 3.0.0    :  1928.8   22.8     100    2200   319   224  1657    20  2313.6
  47 Walleye 1.6.0         :  1854.4   24.2     100    2200   237   178  1785    15  2320.4
  48 TSCP 1.81             :  1740.7   26.4     ---    2200   112   149  1939     8  2330.7

White advantage = 16.19 +/- 1.08
Draw rate (equal opponents) = 52.61 % +/- 0.25

