Head to head statistics:

 1) Stockfish 16.1     3724.2 :   2200 (+601,=1596,-3),  63.6 %

    vs.                       :  games (   +,    =, -),   (%) :    Diff,    SD, CFS (%)
    Komodo Dragon 3.3         :    200 (  13,  185, 2),  52.8 :   +10.9,   7.3,   93.0
    Berserk 13                :    200 (  15,  185, 0),  53.8 :   +26.6,   7.6,  100.0
    RubiChess 20240817        :    200 (  26,  174, 0),  56.5 :   +56.0,   7.2,  100.0
    Ethereal 14.25            :    200 (  34,  166, 0),  58.5 :   +60.6,   7.3,  100.0
    Rebel 16.3                :    200 (  47,  152, 1),  61.5 :   +74.2,   7.1,  100.0
    rofChade 3.1              :    200 (  49,  151, 0),  62.3 :   +97.8,   7.4,  100.0
    Koivisto 9.0              :    200 (  63,  137, 0),  65.8 :  +104.5,   7.3,  100.0
    Arasan 24.2.2             :    200 (  77,  123, 0),  69.3 :  +143.5,   7.0,  100.0
    SlowChess 2.9             :    200 (  69,  131, 0),  67.3 :  +144.1,   7.1,  100.0
    Minic 3.41                :    200 ( 100,  100, 0),  75.0 :  +184.9,   6.9,  100.0
    Wasp 7.00                 :    200 ( 108,   92, 0),  77.0 :  +206.2,   7.3,  100.0

 2) Komodo Dragon 3.3  3713.4 :   2200 (+553,=1624,-23),  62.0 %

    vs.                       :  games (   +,    =,  -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    200 (   2,  185, 13),  47.3 :   -10.9,   7.3,    7.0
    Berserk 13                :    200 (   3,  195,  2),  50.3 :   +15.7,   7.2,   98.5
    RubiChess 20240817        :    200 (  14,  183,  3),  52.8 :   +45.1,   7.0,  100.0
    Ethereal 14.25            :    200 (  25,  172,  3),  55.5 :   +49.7,   7.1,  100.0
    Rebel 16.3                :    200 (  32,  168,  0),  58.0 :   +63.4,   6.8,  100.0
    rofChade 3.1              :    200 (  55,  144,  1),  63.5 :   +87.0,   7.2,  100.0
    Koivisto 9.0              :    200 (  49,  151,  0),  62.3 :   +93.6,   7.2,  100.0
    Arasan 24.2.2             :    200 (  74,  126,  0),  68.5 :  +132.6,   6.8,  100.0
    SlowChess 2.9             :    200 (  84,  116,  0),  71.0 :  +133.3,   6.9,  100.0
