
   # PLAYER                :  RATING  ERROR  CFS(%)  PLAYED     W     D     L   (%)  OppAvg
   1 Stockfish 16.1        :  3768.8   14.3     100    2200   759  1432     9    67  3639.5
   2 Komodo Dragon 3.3     :  3741.1   14.3      86    2200   611  1560    29    63  3642.0
   3 Berserk 13            :  3732.6   14.1     100    2200   572  1585    43    62  3642.8
   4 RubiChess 20240817    :  3693.9   14.2      88    2200   383  1717   100    56  3646.3
   5 Ethereal 14.25        :  3684.7   13.4     100    2200   355  1714   131    55  3647.1
   6 Rebel 16.3            :  3655.0   ----      95    2200   248  1750   202    51  3649.8
   7 rofChade 3.1          :  3643.5   13.7      52    2200   224  1707   269    49  3650.9
   8 Koivisto 9.0          :  3643.2   13.7     100    2200   244  1665   291    49  3650.9
   9 SlowChess 2.9         :  3585.7   13.8      67    2200   124  1533   543    40  3656.1
  10 Arasan 24.2.2         :  3582.3   11.9     100    3200   486  2100   614    48  3593.2
  11 Minic 3.41            :  3551.2   12.0     100    3200   398  1988   814    44  3597.1
  12 Wasp 7.00             :  3520.9   12.6      79    3200   359  1792  1049    39  3600.9
  13 Texel 1.11            :  3514.4   14.4     100    3200  1968  1053   179    78  3224.2
  14 Hiarcs 15.3.1         :  3457.0   14.1     100    3200  1781  1068   351    72  3231.4
  15 Shredder 13           :  3227.5   13.1     100    3200   961  1090  1149    47  3260.1
  16 Demolito 20211004     :  3200.1   13.9     100    2200   869   812   519    58  3142.1
  17 iCE 4.0               :  3140.0   ----      54    2200   672   885   643    51  3147.6
  18 Weiss 1.3             :  3139.2   14.2      98    2200   681   849   670    50  3147.7
  19 Senpai 2.0            :  3123.7   13.5     100    2200   635   853   712    48  3149.1
  20 Orion 1.0             :  3090.7   13.9     100    2200   529   878   793    44  3152.1
  21 Rodent 4              :  3003.8   14.4     100    2200   314   826  1060    33  3160.0
  22 Crafty 25.3           :  2980.1   12.6      99    3200   790  1014  1396    41  3074.7
  23 Spike 1.4             :  2963.1   12.2     100    3200   688  1077  1435    38  3076.8
  24 Gaviota 1.0           :  2923.8   11.2     100    4200  1061  1288  1851    41  3020.4
  25 Dumb 2.1              :  2868.4   10.6      98    4000  1789  1172  1039    59  2797.0
  26 Sjeng 3.0             :  2856.5   10.9     100    4000  1673  1268  1059    58  2798.1
  27 MadChess 3.4          :  2834.3    9.8      80    5000  2136  1572  1292    58  2770.5
  28 Fruit 2.3             :  2830.0   ----     100    3000  1231  1022   747    58  2763.6
  29 MadChess 3.3          :  2813.7    9.9      99    5000  1974  1627  1399    56  2770.5
  30 Pawny 1.2             :  2800.5   10.5     100    4000  1351  1259  1390    50  2803.7
  31 Marvin 3.0            :  2745.4   13.2      53    2000   667   687   646    51  2741.8
  32 Leorik 2.3            :  2744.8   11.5     100    3000   897  1002  1101    47  2769.2
  33 Blunder 8.5.5         :  2693.5   11.7      95    3000   661  1037  1302    39  2772.7
  34 Djinn 1.021           :  2682.9   10.1     100    4000  1067  1281  1652    43  2737.9
  35 Glass 2.0             :  2656.8   10.2      94    4000  1016  1084  1900    39  2740.5
  36 Rotor 0.8             :  2647.5   10.5      95    4000   913  1185  1902    38  2741.5
  37 Myrddin 0.90          :  2637.4   11.5      97    3000   728   928  1344    40  2715.3
  38 Floyd 0.9             :  2621.5   13.9     100    3200  2030   555   615    72  2349.7
  39 Maverick 1.5          :  2595.0   ----     100    3200  1952   556   692    70  2353.0
  40 Ghost 3.1             :  2491.1   17.7      75    2200  1432   311   457    72  2227.8
  41 Cosette 5.1           :  2484.9   17.7     100    2200  1401   347   452    72  2228.3
  42 Gaia 3.5              :  2445.4   18.2     100    2200  1331   318   551    68  2231.9
  43 Sungorus 1.4          :  2332.9   18.5     100    2200  1068   351   781    57  2242.2
  44 Napoleon 1.8          :  2294.1   19.0     100    2200   968   382   850    53  2245.7
  45 BikJump 2.01          :  2168.2   19.9     100    2200   713   364  1123    41  2257.1
  46 Faile 1.4             :  2008.5   21.3     100    2200   423   336  1441    27  2271.6
  47 Rustic Alpha 3.0.0    :  1939.9   22.5     100    2200   358   230  1612    22  2277.9
  48 Walleye 1.6.0         :  1857.6   24.0     100    2200   254   180  1766    16  2285.4
  49 TSCP 1.81             :  1757.6   26.2     ---    2200   137   146  1917    10  2294.5

White advantage = 14.67 +/- 1.06
Draw rate (equal opponents) = 46.19 % +/- 0.23

