
   # PLAYER                :  RATING  ERROR  CFS(%)  PLAYED     W     D     L   (%)  OppAvg
   1 Stockfish 16.1        :  3804.3    6.9     100    9792  4057  5703    32    71  3644.0
   2 Komodo Dragon 3.3     :  3757.0    6.6      60    9791  3073  6446   272    64  3648.3
   3 Berserk 13            :  3756.1    6.9     100    9791  3046  6475   270    64  3648.4
   4 RubiChess 20240817    :  3709.9    6.5     100    9791  2138  7018   635    58  3652.6
   5 Ethereal 14.25        :  3695.7    6.4     100    9791  1905  7081   805    56  3653.9
   6 Koivisto 9.0          :  3656.4    6.7      97    9791  1423  6921  1447    50  3657.5
   7 Rebel 16.3            :  3650.0   ----     100    9791  1245  7161  1385    49  3658.1
   8 rofChade 3.1          :  3638.5    6.4     100    9791  1167  6919  1705    47  3659.1
   9 SlowChess 2.9         :  3564.6    5.5      50   14792  1997  9166  3629    44  3605.9
  10 Shredder 14           :  3564.6    6.6      55    9791   483  6213  3095    37  3665.8
  11 Arasan 24.2.2         :  3564.1    5.6     100   14792  2014  9113  3665    44  3606.0
  12 Minic 3.41            :  3527.6    5.6      99   14792  1462  8666  4664    39  3610.6
  13 Texel 1.11            :  3519.1    6.8      50   14667  8603  4939  1125    75  3246.5
  14 Wasp 7.00             :  3519.1    6.5     100   14668  8630  4886  1152    75  3246.5
  15 Hiarcs 15.3.1         :  3312.4    6.1     100   14668  5541  4618  4509    54  3273.0
  16 Demolito 20211004     :  3198.4    6.7     100    9667  3906  3281  2480    57  3145.9
  17 Senpai 2.0            :  3130.2    6.5      52    9667  3100  3293  3274    49  3152.1
  18 iCE 4.0               :  3130.0   ----      94    9667  3117  3282  3268    49  3152.1
  19 Weiss 1.3             :  3124.5    6.8     100    9667  3076  3205  3386    48  3152.7
  20 Orion 1.0             :  3058.3    6.6     100    9667  2237  3300  4130    40  3158.6
  21 Rodent 4              :  2983.2    7.0     100    9667  1469  3091  5107    31  3165.5
  22 Crafty 25.3           :  2958.0    5.7     100   14667  3710  4242  6715    40  3066.6
  23 Spike 1.4             :  2941.9    5.5     100   14667  3378  4301  6988    38  3068.6
  24 Gaviota 1.0           :  2928.1    5.6     100   15667  3849  4236  7582    38  3052.1
  25 Dumb 2.1              :  2852.8    5.2     100   15567  7349  3942  4276    60  2776.8
  26 Sjeng 3.0             :  2822.0    5.3     100   15567  6419  4416  4732    55  2780.5
  27 Fruit 2.3             :  2810.0   ----     100   15567  5994  4622  4951    53  2782.0
  28 Pawny 1.2             :  2786.6    6.4      78   10567  4565  3104  2898    58  2727.8
  29 MadChess 3.5          :  2784.0    6.0     100   12000  5070  3232  3698    56  2741.2
  30 MadChess 3.4          :  2761.5    6.6     100    9567  3970  2587  3010    55  2724.2
  31 Leorik 2.3            :  2744.0    6.3     100   10567  3951  3018  3598    52  2731.3
  32 Marvin 3.0            :  2726.8    6.1     100   10567  3551  3285  3731    49  2732.7
  33 Blunder 8.5.5         :  2677.8    6.5      97   10567  2801  3275  4491    42  2736.7
  34 Djinn 1.021           :  2671.2    6.3     100   10566  2777  3122  4667    41  2737.3
  35 Glass 2.0             :  2657.9    6.3     100   10566  2761  2754  5051    39  2738.4
  36 Rotor 0.8             :  2630.7    6.6     100   10566  2352  2773  5441    35  2740.6
  37 Myrddin 0.90          :  2586.4    6.8     ---   10566  1751  2742  6073    30  2744.2

White advantage = 16.02 +/- 0.56
Draw rate (equal opponents) = 48.68 % +/- 0.13

