
   # PLAYER                :  RATING  ERROR  CFS(%)  PLAYED     W     D    L   (%)  OppAvg
   1 Stockfish 16.1        :  3607.4   18.2      95    1100   258   841    1    62  3521.9
   2 Komodo Dragon 3.3     :  3590.9   17.1      56    1100   213   878    9    59  3523.4
   3 Berserk 13            :  3589.4   18.6     100    1100   207   885    8    59  3523.5
   4 RubiChess 20240817    :  3562.6   18.4      66    1100   136   939   25    55  3525.9
   5 Ethereal 14.25        :  3558.3   18.6      97    1100   128   941   31    54  3526.3
   6 Rebel 16.3            :  3540.0   ----      83    1100    95   930   75    51  3528.0
   7 rofChade 3.1          :  3531.3   17.9      93    1100    95   917   88    50  3528.8
   8 Koivisto 9.0          :  3516.9   18.2      98    1100    69   921  110    48  3530.1
   9 SlowChess 2.9         :  3496.4   17.9      85    1100    40   911  149    45  3532.0
  10 Arasan 24.2.2         :  3486.5   16.2     100    1600   207  1213  180    51  3477.1
  11 Minic 3.41            :  3443.7   16.4      99    1600   150  1124  326    45  3482.5
  12 Wasp 7.00             :  3424.5   16.6      93    1600   131  1072  397    42  3484.9
  13 Texel 1.11            :  3409.4   18.0     100    1600   894   646   60    76  3164.1
  14 Hiarcs 15.3.1         :  3281.6   16.8     100    1600   599   769  232    61  3180.1
  15 Shredder 13           :  3213.8   16.9     100    1600   472   752  376    53  3188.5
  16 Demolito 20211004     :  3136.7   18.3     100    1100   344   535  221    56  3095.3
  17 iCE 4.0               :  3100.0   ----      67    1100   287   536  277    50  3098.6
  18 Weiss 1.3             :  3095.9   18.0      59    1100   276   550  274    50  3099.0
  19 Orion 1.0             :  3093.6   17.3     100    1100   313   469  318    50  3099.2
  20 Senpai 2.0            :  3064.0   17.6     100    1100   245   517  338    46  3101.9
  21 Rodent 4              :  3010.2   18.1     100    1100   185   479  436    39  3106.8
  22 Spike 1.4             :  2957.8   15.8      88    1600   345   646  609    42  3032.7
  23 Crafty 25.3           :  2947.5   15.8     100    1600   327   638  635    40  3034.0
  24 Gaviota 1.0           :  2874.4   16.6      99    1600   223   543  834    31  3043.2
  25 MadChess 3.4          :  2844.6   18.0      71    1100   536   387  177    66  2718.5
  26 Sjeng 3.0             :  2839.2   15.5      67    1600   637   609  354    59  2770.2
  27 Dumb 2.1              :  2835.5   14.8     100    1600   650   566  384    58  2770.7
  28 Pawny 1.2             :  2799.9   15.5      73    1600   553   594  453    53  2775.1
  29 Fruit 2.3             :  2795.0   ----     100    1100   462   408  230    61  2723.0
  30 Marvin 3.0            :  2742.4   16.9      94    1100   348   446  306    52  2727.8
  31 Leorik 2.3            :  2726.8   17.0     100    1100   328   436  336    50  2729.2
  32 Blunder 8.5.5         :  2690.5   17.0     100    1100   276   424  400    44  2732.5
  33 Floyd 0.9             :  2650.9   17.4      96    1600  1052   342  206    76  2334.2
  34 Rotor 0.8             :  2633.6   15.3      54    1600   381   580  639    42  2695.7
  35 Djinn 1.021           :  2632.8   14.7      77    1600   381   576  643    42  2695.8
  36 Myrddin 0.90          :  2626.8   15.6     100    1600   369   572  659    41  2696.5
  37 Glass 2.0             :  2580.8   15.2      99    1600   294   512  794    34  2702.3
  38 Hermann 2.8           :  2548.9   22.2      98    1100   748   190  162    77  2222.8
  39 Maverick 1.5          :  2525.0   ----     100    1600   799   398  403    62  2350.0
  40 Cosette 5.1           :  2448.0   22.3      90    1100   635   201  264    67  2232.0
  41 BikJump 3.1           :  2432.6   22.3      81    1100   614   209  277    65  2233.4
  42 Gaia 3.5              :  2421.8   22.0     100    1100   609   195  296    64  2234.4
  43 Sungorus 1.4          :  2294.0   24.1     100    1100   465   203  432    52  2246.0
  44 Napoleon 1.8          :  2261.5   24.0     100    1100   424   217  459    48  2248.9
  45 Faile 1.4             :  1944.9   30.7     100    1100   179   140  781    23  2277.7
  46 Rustic Alpha 3.0.0    :  1896.4   31.6      97    1100   152   120  828    19  2282.1
  47 Walleye 1.6.0         :  1869.1   32.6     100    1100   133   118  849    17  2284.6
  48 TSCP 1.81             :  1706.5   37.5     ---    1100    47    83  970     8  2299.4

White advantage = 16.63 +/- 1.51
Draw rate (equal opponents) = 56.27 % +/- 0.36

