Head to head statistics:

 1) Stockfish 16.1     3607.4 :   1100 (+258,=841,-1),  61.7 %

    vs.                       :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Komodo Dragon 3.3         :    100 (   5,  95, 0),  52.5 :   +16.5,  10.0,   95.1
    Berserk 13                :    100 (   6,  94, 0),  53.0 :   +18.0,   9.8,   96.8
    RubiChess 20240817        :    100 (  10,  90, 0),  55.0 :   +44.9,   9.7,  100.0
    Ethereal 14.25            :    100 (  12,  87, 1),  55.5 :   +49.1,   9.9,  100.0
    Rebel 16.3                :    100 (  24,  76, 0),  62.0 :   +67.4,   9.3,  100.0
    rofChade 3.1              :    100 (  26,  74, 0),  63.0 :   +76.1,  10.1,  100.0
    Koivisto 9.0              :    100 (  26,  74, 0),  63.0 :   +90.5,   9.9,  100.0
    SlowChess 2.9             :    100 (  25,  75, 0),  62.5 :  +111.0,   9.7,  100.0
    Arasan 24.2.2             :    100 (  34,  66, 0),  67.0 :  +121.0,   9.4,  100.0
    Minic 3.41                :    100 (  43,  57, 0),  71.5 :  +163.7,   9.5,  100.0
    Wasp 7.00                 :    100 (  47,  53, 0),  73.5 :  +182.9,   9.3,  100.0

 2) Komodo Dragon 3.3  3590.9 :   1100 (+213,=878,-9),  59.3 %

    vs.                       :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    100 (   0,  95, 5),  47.5 :   -16.5,  10.0,    4.9
    Berserk 13                :    100 (   2,  95, 3),  49.5 :    +1.5,   9.7,   56.3
    RubiChess 20240817        :    100 (   6,  94, 0),  53.0 :   +28.4,   9.5,   99.9
    Ethereal 14.25            :    100 (   8,  92, 0),  54.0 :   +32.6,  10.0,   99.9
    Rebel 16.3                :    100 (  14,  86, 0),  57.0 :   +50.9,   8.7,  100.0
    rofChade 3.1              :    100 (  15,  85, 0),  57.5 :   +59.7,   9.8,  100.0
    Koivisto 9.0              :    100 (  24,  76, 0),  62.0 :   +74.1,   9.4,  100.0
    SlowChess 2.9             :    100 (  22,  77, 1),  60.5 :   +94.5,   9.4,  100.0
    Arasan 24.2.2             :    100 (  38,  62, 0),  69.0 :  +104.5,   8.9,  100.0
    Minic 3.41                :    100 (  37,  63, 0),  68.5 :  +147.2,   9.2,  100.0
    Wasp 7.00                 :    100 (  47,  53, 0),  73.5 :  +166.5,   9.2,  100.0

 3) Berserk 13         3589.4 :   1100 (+207,=885,-8),  59.0 %

    vs.                       :  games (   +,   =, -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    100 (   0,  94, 6),  47.0 :   -18.0,   9.8,    3.2
    Komodo Dragon 3.3         :    100 (   3,  95, 2),  50.5 :    -1.5,   9.7,   43.7
    RubiChess 20240817        :    100 (   4,  96, 0),  52.0 :   +26.8,   9.7,   99.7
    Ethereal 14.25            :    100 (   4,  96, 0),  52.0 :   +31.1,  10.0,   99.9
    Rebel 16.3                :    100 (  14,  86, 0),  57.0 :   +49.4,   9.5,  100.0
    rofChade 3.1              :    100 (  17,  83, 0),  58.5 :   +58.1,   9.5,  100.0
    Koivisto 9.0              :    100 (  16,  84, 0),  58.0 :   +72.5,   9.9,  100.0
    SlowChess 2.9             :    100 (  30,  70, 0),  65.0 :   +93.0,   9.6,  100.0
    Arasan 24.2.2             :    100 (  29,  71, 0),  64.5 :  +102.9,   9.2,  100.0
    Minic 3.41                :    100 (  39,  61, 0),  69.5 :  +145.7,   9.2,  100.0
    Wasp 7.00                 :    100 (  51,  49, 0),  75.5 :  +164.9,   9.1,  100.0

 4) RubiChess 20240817 3562.6 :   1100 (+136,=939,-25),  55.0 %

    vs.                       :  games (   +,   =,  -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    100 (   0,  90, 10),  45.0 :   -44.9,   9.7,    0.0
    Komodo Dragon 3.3         :    100 (   0,  94,  6),  47.0 :   -28.4,   9.5,    0.1
    Berserk 13                :    100 (   0,  96,  4),  48.0 :   -26.8,   9.7,    0.3
    Ethereal 14.25            :    100 (   3,  95,  2),  50.5 :    +4.2,  10.0,   66.5
    Rebel 16.3                :    100 (   4,  95,  1),  51.5 :   +22.6,   9.4,   99.2
    rofChade 3.1              :    100 (  13,  87,  0),  56.5 :   +31.3,   9.5,  100.0
    Koivisto 9.0              :    100 (  17,  82,  1),  58.0 :   +45.7,   9.7,  100.0
    SlowChess 2.9             :    100 (  14,  86,  0),  57.0 :   +66.2,   9.9,  100.0
    Arasan 24.2.2             :    100 (  18,  81,  1),  58.5 :   +76.1,   9.2,  100.0
    Minic 3.41                :    100 (  33,  67,  0),  66.5 :  +118.8,   9.4,  100.0
    Wasp 7.00                 :    100 (  34,  66,  0),  67.0 :  +138.1,   9.7,  100.0

 5) Ethereal 14.25     3558.3 :   1100 (+128,=941,-31),  54.4 %

    vs.                       :  games (   +,   =,  -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    100 (   1,  87, 12),  44.5 :   -49.1,   9.9,    0.0
    Komodo Dragon 3.3         :    100 (   0,  92,  8),  46.0 :   -32.6,  10.0,    0.1
    Berserk 13                :    100 (   0,  96,  4),  48.0 :   -31.1,  10.0,    0.1
    RubiChess 20240817        :    100 (   2,  95,  3),  49.5 :    -4.2,  10.0,   33.5
    Rebel 16.3                :    100 (   6,  94,  0),  53.0 :   +18.3,   9.5,   97.3
    rofChade 3.1              :    100 (   8,  92,  0),  54.0 :   +27.1,   9.7,   99.7
    Koivisto 9.0              :    100 (   9,  90,  1),  54.0 :   +41.5,   9.9,  100.0
    SlowChess 2.9             :    100 (  18,  81,  1),  58.5 :   +61.9,   9.7,  100.0
    Arasan 24.2.2             :    100 (  16,  83,  1),  57.5 :   +71.9,   9.8,  100.0
    Minic 3.41                :    100 (  29,  70,  1),  64.0 :  +114.6,   9.7,  100.0
    Wasp 7.00                 :    100 (  39,  61,  0),  69.5 :  +133.9,   9.6,  100.0

 6) Rebel 16.3         3540.0 :   1100 (+95,=930,-75),  50.9 %

    vs.                       :  games (  +,   =,  -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    100 (  0,  76, 24),  38.0 :   -67.4,   9.3,    0.0
    Komodo Dragon 3.3         :    100 (  0,  86, 14),  43.0 :   -50.9,   8.7,    0.0
    Berserk 13                :    100 (  0,  86, 14),  43.0 :   -49.4,   9.5,    0.0
    RubiChess 20240817        :    100 (  1,  95,  4),  48.5 :   -22.6,   9.4,    0.8
    Ethereal 14.25            :    100 (  0,  94,  6),  47.0 :   -18.3,   9.5,    2.7
    rofChade 3.1              :    100 (  2,  94,  4),  49.0 :    +8.7,   9.1,   83.1
    Koivisto 9.0              :    100 (  3,  92,  5),  49.0 :   +23.1,   9.3,   99.4
    SlowChess 2.9             :    100 ( 12,  86,  2),  55.0 :   +43.6,   9.2,  100.0
    Arasan 24.2.2             :    100 ( 10,  90,  0),  55.0 :   +53.5,   8.3,  100.0
    Minic 3.41                :    100 ( 29,  71,  0),  64.5 :   +96.3,   8.4,  100.0
    Wasp 7.00                 :    100 ( 38,  60,  2),  68.0 :  +115.5,   8.5,  100.0

 7) rofChade 3.1       3531.3 :   1100 (+95,=917,-88),  50.3 %

    vs.                       :  games (  +,   =,  -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    100 (  0,  74, 26),  37.0 :   -76.1,  10.1,    0.0
    Komodo Dragon 3.3         :    100 (  0,  85, 15),  42.5 :   -59.7,   9.8,    0.0
    Berserk 13                :    100 (  0,  83, 17),  41.5 :   -58.1,   9.5,    0.0
    RubiChess 20240817        :    100 (  0,  87, 13),  43.5 :   -31.3,   9.5,    0.0
    Ethereal 14.25            :    100 (  0,  92,  8),  46.0 :   -27.1,   9.7,    0.3
    Rebel 16.3                :    100 (  4,  94,  2),  51.0 :    -8.7,   9.1,   16.9
    Koivisto 9.0              :    100 ( 10,  88,  2),  54.0 :   +14.4,   9.6,   93.4
    SlowChess 2.9             :    100 ( 11,  88,  1),  55.0 :   +34.9,   9.4,  100.0
    Arasan 24.2.2             :    100 ( 14,  83,  3),  55.5 :   +44.8,   9.2,  100.0
    Minic 3.41                :    100 ( 21,  79,  0),  60.5 :   +87.6,   9.4,  100.0
    Wasp 7.00                 :    100 ( 35,  64,  1),  67.0 :  +106.8,   9.3,  100.0

 8) Koivisto 9.0       3516.9 :   1100 (+69,=921,-110),  48.1 %

    vs.                       :  games (  +,   =,   -),   (%) :    Diff,    SD, CFS (%)
    Stockfish 16.1            :    100 (  0,  74,  26),  37.0 :   -90.5,   9.9,    0.0
    Komodo Dragon 3.3         :    100 (  0,  76,  24),  38.0 :   -74.1,   9.4,    0.0
    Berserk 13                :    100 (  0,  84,  16),  42.0 :   -72.5,   9.9,    0.0
    RubiChess 20240817        :    100 (  1,  82,  17),  42.0 :   -45.7,   9.7,    0.0
